# Model Spectrum: Blackbody T = 10000.000
# No ISM extinction
# Normalization: A0V magnitude 15.000000 for filter 2MASS Ks
# 
# Wavelength (microns)   F_lambda (W/m^2/micron)   F_nu (Jy)
     0.14478632  1.409928e-14  9.858962e-05
     0.14493147  1.416914e-14  9.927686e-05
     0.14507677  1.423920e-14  9.996791e-05
     0.14522221  1.430947e-14  1.006628e-04
     0.14536779  1.437994e-14  1.013614e-04
     0.14551352  1.445061e-14  1.020639e-04
     0.14565940  1.452149e-14  1.027703e-04
     0.14580542  1.459257e-14  1.034805e-04
     0.14595159  1.466386e-14  1.041946e-04
     0.14609791  1.473535e-14  1.049126e-04
     0.14624437  1.480704e-14  1.056345e-04
     0.14639098  1.487893e-14  1.063603e-04
     0.14653774  1.495102e-14  1.070900e-04
     0.14668465  1.502331e-14  1.078237e-04
     0.14683170  1.509581e-14  1.085614e-04
     0.14697890  1.516850e-14  1.093030e-04
     0.14712624  1.524140e-14  1.100486e-04
     0.14727374  1.531449e-14  1.107982e-04
     0.14742138  1.538779e-14  1.115518e-04
     0.14756917  1.546128e-14  1.123094e-04
     0.14771711  1.553498e-14  1.130711e-04
     0.14786519  1.560887e-14  1.138368e-04
     0.14801343  1.568296e-14  1.146066e-04
     0.14816181  1.575725e-14  1.153805e-04
     0.14831034  1.583174e-14  1.161584e-04
     0.14845903  1.590642e-14  1.169405e-04
     0.14860786  1.598130e-14  1.177267e-04
     0.14875684  1.605638e-14  1.185170e-04
     0.14890596  1.613165e-14  1.193115e-04
     0.14905524  1.620712e-14  1.201101e-04
     0.14920467  1.628279e-14  1.209130e-04
     0.14935425  1.635864e-14  1.217200e-04
     0.14950398  1.643470e-14  1.225312e-04
     0.14965385  1.651095e-14  1.233466e-04
     0.14980388  1.658739e-14  1.241662e-04
     0.14995406  1.666402e-14  1.249901e-04
     0.15010439  1.674085e-14  1.258182e-04
     0.15025487  1.681787e-14  1.266507e-04
     0.15040550  1.689508e-14  1.274874e-04
     0.15055628  1.697249e-14  1.283283e-04
     0.15070722  1.705008e-14  1.291736e-04
     0.15085830  1.712787e-14  1.300233e-04
     0.15100954  1.720585e-14  1.308772e-04
     0.15116092  1.728401e-14  1.317355e-04
     0.15131246  1.736237e-14  1.325982e-04
     0.15146415  1.744091e-14  1.334652e-04
     0.15161600  1.751964e-14  1.343367e-04
     0.15176799  1.759856e-14  1.352125e-04
     0.15192014  1.767767e-14  1.360928e-04
     0.15207244  1.775696e-14  1.369774e-04
     0.15222489  1.783645e-14  1.378666e-04
     0.15237750  1.791611e-14  1.387601e-04
     0.15253026  1.799596e-14  1.396582e-04
     0.15268317  1.807600e-14  1.405607e-04
     0.15283623  1.815622e-14  1.414677e-04
     0.15298945  1.823663e-14  1.423793e-04
     0.15314282  1.831721e-14  1.432953e-04
     0.15329635  1.839798e-14  1.442159e-04
     0.15345003  1.847894e-14  1.451410e-04
     0.15360386  1.856007e-14  1.460707e-04
     0.15375785  1.864139e-14  1.470050e-04
     0.15391199  1.872288e-14  1.479439e-04
     0.15406629  1.880456e-14  1.488873e-04
     0.15422074  1.888642e-14  1.498354e-04
     0.15437535  1.896845e-14  1.507881e-04
